,Phi,Theta,E_deloc,E_nonbond,E_hyd,E_tot,E_meth,norm_E_meth,new_E_nb,new_E_deloc
241,50,130,1.0297567843999786,-2755.2985838832,-2755.2940445289,-2754.2688270988,0.004539354300050036,0.0028358269000818837,-2755.2968803558,1.0280532570000105
124,60,130,1.0294305028000963,-2755.2748912954003,-2755.2699515493,-2754.2454607926,0.004939746100035336,0.002676393600040683,-2755.2726279429,1.027167150299647
296,0,140,1.0300468249001824,-2755.3469643394,-2755.3451311994,-2754.3169175145,0.0018331399999169662,0.0022664953000912647,-2755.3473976947,1.030480180199902
273,5,140,1.0305337167005746,-2755.3469542147004,-2755.3442578156,-2754.316420498,0.0026963991001593968,0.0016669016999912856,-2755.3459247173,1.029504219300179
149,10,140,1.0309915554003055,-2755.3460201152,-2755.3423970385,-2754.3150285598,0.0036230767000233755,0.0009637596999709785,-2755.3433607982,1.0283322384002531
334,15,140,1.031288024499645,-2755.3440107860997,-2755.339544187,-2754.3127227616,0.004466599099941959,0.0003597038000862085,-2755.3399038908,1.0271811292000166
81,20,140,1.0314255946996127,-2755.3409183029,-2755.3357057416,-2754.3094927082,0.005212561299913432,0.0,-2755.3357057416,1.0262130333999266
28,25,140,1.0313930863999303,-2755.33671498,-2755.3308799941,-2754.3053218936,0.005834985900037282,2.1859900016352185e-05,-2755.3309018540003,1.0255799604001368
66,30,140,1.0311869373999798,-2755.3313487916,-2755.3250284406,-2754.3001618542,0.006320350999885704,0.0005680484998720203,-2755.3255964890996,1.0254346348997387
193,40,140,1.030098515499958,-2755.316792313,-2755.3100908674,-2754.2866937975,0.00670144559990149,0.0015454077999947913,-2755.3116362752,1.024942477699824
235,50,140,1.0288703292999344,-2755.2974461707,-2755.2904657542,-2754.2685758414,0.006980416500027786,0.0027359806999811553,-2755.2932017349,1.0246258934998878
137,60,140,1.0286356318997605,-2755.2734818451,-2755.2654047369,-2754.2448462132,0.008077108200041039,0.003869904300017879,-2755.2692746412004,1.024428428000192
